구역,이름,구글맵링크,좌표,비고
용산,용산마루,https://www.google.com/maps/search/?api=1&query=용산마루&query_place_id=ChIJlYKBH52hfDURTvWfzPBQS9E,"37.525433, 126.962615","마제소바, 덮밥 등"
용산,우동키노야 신용산본점,https://www.google.com/maps/search/?api=1&query=우동키노야+신용산본점&query_place_id=ChIJt4mCs86hfDURBxstMEh2lbA,"37.525046, 126.962268","우동"
용산,에비스야 우동 용산점,https://www.google.com/maps/search/?api=1&query=에비스야+우동+용산점&query_place_id=ChIJ9T7r9_WjfDURM8DGwBxPpTk,"37.526505, 126.963389","우동"
용산,신기소플러스 용산아이파크몰점,https://www.google.com/maps/search/?api=1&query=신기소+용산역점&query_place_id=ChIJYetzTwOifDURSBH_2U8qlek,"37.529150, 126.964250","우동, 카츠"
용산,라멘짱 용산아이파크몰점,https://www.google.com/maps/search/?api=1&query=라멘짱+용산아이파크몰점&query_place_id=ChIJV9wGbQejfDURafai1JnJyMA,"37.528015, 126.962951","라멘, 카츠"
용산,코코이찌방야 용산아모레퍼시픽점,https://www.google.com/maps/search/?api=1&query=코코이찌방야+용산아모레퍼시픽점&query_place_id=ChIJV3OovnejfDURrwpZMCBaPEo,"37.528546, 126.968538","카레"
용산,토끼정 용산 아이파크몰,https://www.google.com/maps/search/?api=1&query=토끼정+아이파크몰점&query_place_id=ChIJUZNgGnWjfDURSgkgAq-c3ls,"37.528854, 126.964045","덮밥"
용산,낙원테산도 용산아이파크몰점,https://www.google.com/maps/search/?api=1&query=낙원테산도+용산아이파크몰점&query_place_id=ChIJ33_SWamjfDURwFjBIIv88mc,"37.530543, 126.964920","카츠, 카츠산도"
용산,호천당 용산점,https://www.google.com/maps/search/?api=1&query=호천당+용산전자랜드점&query_place_id=ChIJjT9XIASifDURKb3ijOE-PUk,"37.532864, 126.959612","카츠"
용산,카츠8 용산아이파크몰점,https://www.google.com/maps/search/?api=1&query=카츠8+용산아이파크몰점&query_place_id=ChIJlXXpSdujfDUR8AnsEI8EAYY,"37.529713, 126.964753","카츠"
용산,160도,https://www.google.com/maps/search/?api=1&query=160도+용산&query_place_id=ChIJz1EEBcGjfDURR6JDrLIaH3k,"37.534297, 126.963511","가츠동"
용산,타쿠미 나가사키 용산 아이파크몰점,https://www.google.com/maps/search/?api=1&query=타쿠미나가사키+용산아이파크몰점&query_place_id=ChIJPVMe1najfDURs8ujUh0ia1k,"37.529557, 126.964157","카츠"
용산,시마스시 용산아이파크몰점,https://www.google.com/maps/search/?api=1&query=시마스시+용산아이파크몰점&query_place_id=ChIJ7e4JmU6jfDURtd9dwAdpZ7M,"37.530641, 126.964978","회전초밥"
용산,수락,https://www.google.com/maps/search/?api=1&query=수락+우동+소바+용산&query_place_id=ChIJq6qqqouhfDURRvQDDqakoK0,"37.525886, 126.968616","우동, 소바"
